"","Site.recode","Site.Description","Histology","Histology.Description","Histology.Behavior","Histology.Behavior.Description","Histology.Behavior.Four"
"3106","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",824,"CARCINOID TUMOR, MALIGNANT","8243/3","Goblet cell carcinoid","8243"
"3107","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",824,"CARCINOID TUMOR, MALIGNANT","8244/3","Composite carcinoid","8244"
"3108","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",824,"CARCINOID TUMOR, MALIGNANT","8245/3","Adenocarcinoid tumor","8245"
"3109","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",824,"CARCINOID TUMOR, MALIGNANT","8246/3","Neuroendocrine carcinoma","8246"
"3110","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",824,"CARCINOID TUMOR, MALIGNANT","8249/3","Atypical carcinoid tumor","8249"
"3111","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",825,"BRONCHIOLO-ALVEOLAR ADENOCA.","8251/3","Alveolar adenocarcinoma","8251"
"3112","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",825,"BRONCHIOLO-ALVEOLAR ADENOCA.","8255/3","Adenocarcinoma with mixed subtypes","8255"
"3113","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",826,"PAPILLARY ADENOCARCINOMA, NOS","8260/3","Papillary adenocarcinoma, NOS","8260"
"3114","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",826,"PAPILLARY ADENOCARCINOMA, NOS","8261/2","Adenocarcinoma in situ in villous adenoma","8261"
"3115","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",826,"PAPILLARY ADENOCARCINOMA, NOS","8261/3","Adenocarcinoma in villous adenoma","8261"
"3116","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",826,"PAPILLARY ADENOCARCINOMA, NOS","8262/3","Villous adenocarcinoma","8262"
"3117","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",826,"PAPILLARY ADENOCARCINOMA, NOS","8263/2","Adenocarcinoma in situ in tubulovillous adenoma","8263"
"3118","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",826,"PAPILLARY ADENOCARCINOMA, NOS","8263/3","Adenocarcinoma in tubulovillous adenoma","8263"
"3119","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",829,"OXYPHILIC ADENOCARCINOMA","8290/3","Oxyphilic adenocarcinoma","8290"
"3120","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",831,"CLEAR CELL ADENOCARCINOMA, NOS","8310/3","Clear cell adenocarcinoma, NOS","8310"
"3121","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",832,"GRANULAR CELL CARCINOMA","8320/3","Granular cell carcinoma","8320"
"3122","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",832,"GRANULAR CELL CARCINOMA","8323/3","Mixed cell adenocarcinoma","8323"
"3123","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",838,"ENDOMETRIOID ADENOCARCINOMA","8380/3","Endometrioid carcinoma","8380"
"3124","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",840,"SWEAT GLAND ADENOCARCINOMA","8401/3","Apocrine adenocarcinoma","8401"
"3125","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",843,"MUCOEPIDERMOID CARCINOMA","8430/3","Mucoepidermoid carcinoma","8430"
"3126","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",844,"CYSTADENOCARCINOMA, NOS","8440/3","Cystadenocarcinoma, NOS","8440"
"3127","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",848,"MUCINOUS ADENOCARCINOMA","8480/3","Mucinous adenocarcinoma","8480"
"3128","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",848,"MUCINOUS ADENOCARCINOMA","8481/3","Mucin-producing adenocarcinoma","8481"
"3129","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",849,"SIGNET RING CELL CARCINOMA","8490/3","Signet ring cell carcinoma","8490"
"3130","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",850,"DUCT CARCINOMA","8503/2","Noninfiltrating intraductal papillary adenocarcinoma","8503"
"3131","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",850,"DUCT CARCINOMA","8503/3","Intraductal papillary adenocarcinoma with invasion","8503"
"3132","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",850,"DUCT CARCINOMA","8504/2","Noninfiltrating intracystic carcinoma","8504"
"3133","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",850,"DUCT CARCINOMA","8504/3","Intracystic carcinoma, NOS","8504"
"3134","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",851,"MEDULLARY CARCINOMA, NOS","8510/3","Medullary carcinoma, NOS","8510"
"3135","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",852,"LOBULAR AND OTHER DUCTAL CA.","8521/3","Infiltrating ductular carcinoma","8521"
"3136","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",854,"PAGET DISEASE, EXTRAMAMMARY","8542/3","Paget disease, extramammary","8542"
"3137","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",855,"ACINAR CELL CARCINOMA","8550/3","Acinar cell carcinoma","8550"
"3138","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",855,"ACINAR CELL CARCINOMA","8551/3","Acinar cell cystadenocarcinoma","8551"
"3139","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",856,"ADENOSQUAMOUS CARCINOMA","8560/3","Adenosquamous carcinoma","8560"
"3140","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",856,"ADENOSQUAMOUS CARCINOMA","8562/3","Epithelial-myoepithelial carcinoma","8562"
"3141","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",857,"ADENOCA. WITH METAPLASIA","8570/3","Adenocarcinoma with squamous metaplasia","8570"
"3142","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",857,"ADENOCA. WITH METAPLASIA","8571/3","Adenocarcinoma w cartilag. & oss. metaplas.","8571"
"3143","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",857,"ADENOCA. WITH METAPLASIA","8572/3","Adenocarcinoma with spindle cell mataplasia","8572"
"3144","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",857,"ADENOCA. WITH METAPLASIA","8573/3","Adenocarcinoma with apocrine metaplasia","8573"
"3145","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",857,"ADENOCA. WITH METAPLASIA","8574/3","Adenocarcinoma with neuroendocrine differen.","8574"
"3146","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",857,"ADENOCA. WITH METAPLASIA","8575/3","Metaplastic carcinoma, NOS","8575"
"3147","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",857,"ADENOCA. WITH METAPLASIA","8576/3","Hepatoid adenocarcinoma","8576"
"3148","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",869,"EXTRA-ADRENAL PARAGANG., MAL","8693/3","Extra-adrenal paraganglioma, malignant","8693"
"3149","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",872,"NEVI & MELANOMAS","8720/2","Melanoma in situ","8720"
"3150","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",872,"NEVI & MELANOMAS","8720/3","Malignant melanoma, NOS","8720"
"3151","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",872,"NEVI & MELANOMAS","8721/3","Nodular melanoma","8721"
"3152","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",872,"NEVI & MELANOMAS","8722/3","Balloon cell melanoma","8722"
"3153","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",872,"NEVI & MELANOMAS","8723/3","Malignant melanoma, regressing","8723"
"3154","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",873,"AMELANOTIC MELANOMA","8730/3","Amelanotic melanoma","8730"
"3155","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",874,"MAL. MEL. IN JUNCT. NEVUS","8743/3","Superficial spreading melanoma","8743"
"3156","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",874,"MAL. MEL. IN JUNCT. NEVUS","8745/3","Desmoplastic melanoma, malignant","8745"
"3157","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",874,"MAL. MEL. IN JUNCT. NEVUS","8746/3","Mucosal lentiginous melanoma","8746"
"3158","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",877,"EPITHELIOID CELL MELANOMA","8770/3","Mixed epithel. & spindle cell melanoma","8770"
"3159","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",877,"EPITHELIOID CELL MELANOMA","8771/3","Epithelioid cell melanoma","8771"
"3160","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",877,"EPITHELIOID CELL MELANOMA","8772/3","Spindle cell melanoma, NOS","8772"
"3161","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",880,"SARCOMA, NOS","8800/3","Sarcoma, NOS","8800"
"3162","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",880,"SARCOMA, NOS","8801/3","Spindle cell sarcoma","8801"
"3163","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",880,"SARCOMA, NOS","8802/3","Giant cell sarcoma","8802"
"3164","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",880,"SARCOMA, NOS","8803/3","Small cell sarcoma","8803"
"3165","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",880,"SARCOMA, NOS","8804/3","Epithelioid sarcoma","8804"
"3166","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",880,"SARCOMA, NOS","8805/3","Undifferentiated sarcoma","8805"
"3167","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",880,"SARCOMA, NOS","8806/3","Desmoplastic small round cell tumor","8806"
"3168","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",881,"FIBROMATOUS NEOPLASMS","8810/3","Fibrosarcoma, NOS","8810"
"3169","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",881,"FIBROMATOUS NEOPLASMS","8811/3","Fibromyxosarcoma","8811"
"3170","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",881,"FIBROMATOUS NEOPLASMS","8813/3","Fascial fibrosarcoma","8813"
"3171","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",881,"FIBROMATOUS NEOPLASMS","8814/3","Infantile fibrosarcoma","8814"
"3172","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",881,"FIBROMATOUS NEOPLASMS","8815/3","Solitary fibrous tumor, malignant","8815"
"3173","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",883,"FIBROUS HISTIOCYTOMA, MAL.","8830/3","Fibrous histiocytoma, malignant","8830"
"3174","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",884,"MYXOSARCOMA","8840/3","Myxosarcoma","8840"
"3175","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",885,"LIPOSARCOMA NEOPLASMS","8850/3","Liposarcoma, NOS","8850"
"3176","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",885,"LIPOSARCOMA NEOPLASMS","8851/3","Liposarcoma, well differentiated","8851"
"3177","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",885,"LIPOSARCOMA NEOPLASMS","8852/3","Myxoid liposarcoma","8852"
"3178","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",885,"LIPOSARCOMA NEOPLASMS","8853/3","Round cell liposarcoma","8853"
"3179","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",885,"LIPOSARCOMA NEOPLASMS","8854/3","Pleomorphic liposarcoma","8854"
"3180","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",885,"LIPOSARCOMA NEOPLASMS","8855/3","Mixed type liposarcoma","8855"
"3181","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",885,"LIPOSARCOMA NEOPLASMS","8857/3","Fibroblastic liposarcoma","8857"
"3182","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",885,"LIPOSARCOMA NEOPLASMS","8858/3","Dedifferentiated liposarcoma","8858"
"3183","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",889,"MYOMATOUS NEOPLASMS","8890/3","Leiomyosarcoma, NOS","8890"
"3184","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",889,"MYOMATOUS NEOPLASMS","8891/3","Epithelioid leiomyosarcoma","8891"
"3185","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",889,"MYOMATOUS NEOPLASMS","8894/3","Angiomyosarcoma","8894"
"3186","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",889,"MYOMATOUS NEOPLASMS","8895/3","Myosarcoma","8895"
"3187","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",889,"MYOMATOUS NEOPLASMS","8896/3","Myxoid leiomyosarcoma","8896"
"3188","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",890,"RHABDOMYOSARCOMA, NOS","8900/3","Rhabdomyosarcoma, NOS","8900"
"3189","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",890,"RHABDOMYOSARCOMA, NOS","8901/3","Pleomorphic rhabdomyosarcoma, adult type","8901"
"3190","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",890,"RHABDOMYOSARCOMA, NOS","8902/3","Mixed type rhabdomyosarcoma","8902"
"3191","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",891,"EMBRYONAL RHABDOMYOSARCOMA","8910/3","Embryonal rhabdomyosarcoma","8910"
"3192","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",891,"EMBRYONAL RHABDOMYOSARCOMA","8912/3","Spindle cell rhabdomyosarcoma","8912"
"3193","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",892,"ALVEOLAR RHABDOMYOSARCOMA","8920/3","Alveolar rhabdomyosarcoma","8920"
"3194","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",892,"ALVEOLAR RHABDOMYOSARCOMA","8921/3","Rhabdomyosarcoma with ganglionic differentiation","8921"
"3195","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",893,"STROMAL SARCOMA","8935/3","Stromal sarcoma, NOS","8935"
"3196","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",893,"STROMAL SARCOMA","8936/3","Gastrointestinal stromal sarcoma","8936"
"3197","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",894,"MIXED TUMOR, MALIGNANT, NOS","8940/3","Mixed tumor, malignant, NOS","8940"
"3198","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",894,"MIXED TUMOR, MALIGNANT, NOS","8941/3","Carcinoma in pleomorphic adenoma","8941"
"3199","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",895,"MULLERIAN MIXED TUMOR","8950/3","Mullerian mixed tumor","8950"
"3200","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",895,"MULLERIAN MIXED TUMOR","8951/3","Mesodermal mixed tumor","8951"
"3201","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",898,"CARCINOSARCOMA, NOS","8980/3","Carcinosarcoma, NOS","8980"
"3202","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",898,"CARCINOSARCOMA, NOS","8981/3","Carcinosarcoma, embryonal type","8981"
"3203","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",898,"CARCINOSARCOMA, NOS","8982/3","Malignant myoepithelioma","8982"
"3204","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",899,"MESENCHYMOMA, MALIGNANT","8990/3","Mesenchymoma, malignant","8990"
"3205","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",899,"MESENCHYMOMA, MALIGNANT","8991/3","Embryonal sarcoma","8991"
"3206","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",904,"SYNOVIAL SARCOMA, NOS","9040/3","Synovial sarcoma, NOS","9040"
"3207","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",904,"SYNOVIAL SARCOMA, NOS","9041/3","Synovial sarcoma, spindle cell","9041"
"3208","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",904,"SYNOVIAL SARCOMA, NOS","9042/3","Synovial sarcoma, epithelioid cell","9042"
"3209","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",904,"SYNOVIAL SARCOMA, NOS","9043/3","Synovial sarcoma, biphasic","9043"
"3210","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",904,"SYNOVIAL SARCOMA, NOS","9044/3","Clear cell sarcoma,NOS (except of kidney M-8964/3)","9044"
"3211","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",906,"GERM CELL TUMORS","9060/3","Dysgerminoma","9060"
"3212","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",906,"GERM CELL TUMORS","9064/3","Germinoma","9064"
"3213","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",906,"GERM CELL TUMORS","9065/3","Germ cell tumor, nonseminomatous","9065"
"3214","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",907,"EMBRYONAL CARCINOMA, NOS","9070/3","Embryonal carcinoma, NOS","9070"
"3215","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",907,"EMBRYONAL CARCINOMA, NOS","9071/3","Yolk sac tumor","9071"
"3216","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",907,"EMBRYONAL CARCINOMA, NOS","9072/3","Polyembryoma","9072"
"3217","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",908,"TERATOMA","9080/3","Teratoma, malignant, NOS","9080"
"3218","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",908,"TERATOMA","9081/3","Teratocarcinoma","9081"
"3219","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",908,"TERATOMA","9082/3","Malignant teratoma, undiff.","9082"
"3220","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",908,"TERATOMA","9083/3","Malignant teratoma, intermediate","9083"
"3221","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",908,"TERATOMA","9084/3","Teratoma with malig. transformation","9084"
"3222","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",908,"TERATOMA","9085/3","Mixed germ cell tumor","9085"
"3223","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",910,"CHORIOCARCINOMA","9100/3","Choriocarcinoma","9100"
"3224","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",910,"CHORIOCARCINOMA","9101/3","Choriocarcinoma combined w/ other germ cell elements","9101"
"3225","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",910,"CHORIOCARCINOMA","9105/3","Trophoblastic tumor, epithelioid","9105"
"3226","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",911,"MESONEPHROMA, MALIGNANT","9110/3","Mesonephroma, malignant","9110"
"3227","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",912,"BLOOD VESSEL TUMORS","9120/3","Hemangiosarcoma","9120"
"3228","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",913,"HEMANGIOENDOTHELIOMA","9130/3","Hemangioendothelioma, malignant","9130"
"3229","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",913,"HEMANGIOENDOTHELIOMA","9133/3","Epithelioid hemangioendothelioma, malignant","9133"
"3230","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",914,"KAPOSI SARCOMA","9140/3","Kaposi sarcoma","9140"
"3231","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",915,"HEMANGIOPERICYTOMA","9150/3","Hemangiopericytoma, malignant","9150"
"3232","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",917,"LYMPHANGIOSARCOMA","9170/3","Lymphangiosarcoma","9170"
"3233","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",925,"GT. CELL TUMOR OF BONE, MAL.","9251/3","Malignant giant cell tumor of soft parts","9251"
"3234","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",925,"GT. CELL TUMOR OF BONE, MAL.","9252/3","Malignant tenosynovial giant cell tumor","9252"
"3235","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",937,"CHORDOMA","9370/3","Chordoma, NOS","9370"
"3236","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",937,"CHORDOMA","9371/3","Chondroid chordoma","9371"
"3237","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",937,"CHORDOMA","9372/3","Dedifferentiated chordoma","9372"
"3238","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",949,"GANGLIONEUROBLASTOMA","9490/3","Ganglioneuroblastoma","9490"
"3239","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",950,"NEUROBLASTOMA, NOS","9500/3","Neuroblastoma, NOS","9500"
"3240","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",950,"NEUROBLASTOMA, NOS","9501/3","Medulloepithelioma, NOS","9501"
"3241","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",950,"NEUROBLASTOMA, NOS","9502/3","Teratoid medulloepithelioma","9502"
"3242","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",950,"NEUROBLASTOMA, NOS","9503/3","Neuroepithelioma, NOS","9503"
"3243","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",950,"NEUROBLASTOMA, NOS","9504/3","Spongioneuroblastoma","9504"
"3244","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",950,"NEUROBLASTOMA, NOS","9505/3","Ganglioglioma, anaplastic","9505"
"3245","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",954,"NEUROFIBROSARCOMA","9540/3","Malignant peripheral nerve sheath tumor","9540"
"3246","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",956,"NEURILEMMOMA","9560/3","Neurilemmoma, malignant","9560"
"3247","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",956,"NEURILEMMOMA","9561/3","MPNST with rhabdomyoblastic differentiation","9561"
"3248","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",957,"PERINEURIOMA","9571/3","Perineurioma, malignant","9571"
"3249","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",959,"MALIGNANT LYMPHOMA, NOS","9590/3","Malignant lymphoma, NOS","9590"
"3250","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",959,"MALIGNANT LYMPHOMA, NOS","9591/3","Malignant lymphoma, non-Hodgkin","9591"
"3251","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",959,"MALIGNANT LYMPHOMA, NOS","9596/3","Composite Hodgkin and non-Hodgkin lymphoma","9596"
"3252","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",965,"HODGKIN LYMPHOMA","9650/3","Hodgkin lymphoma, NOS","9650"
"3253","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",965,"HODGKIN LYMPHOMA","9651/3","Hodgkin lymphoma, lymphocyte-rich","9651"
"3254","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",965,"HODGKIN LYMPHOMA","9652/3","Hodgkin lymphoma, mixed cellularity, NOS","9652"
"3255","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",965,"HODGKIN LYMPHOMA","9653/3","Hodgkin lymphoma, lymphocytic deplet., NOS","9653"
"3256","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",965,"HODGKIN LYMPHOMA","9654/3","Hodgkin lymph., lymphocyt. deplet., diffuse fibrosis","9654"
"3257","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",965,"HODGKIN LYMPHOMA","9655/3","Hodgkin lymphoma, lymphocyt. deplet., reticular","9655"
"3258","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",965,"HODGKIN LYMPHOMA","9659/3","Hodgkin lymph., nodular lymphocyte predom.","9659"
"3259","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9661/3","Hodgkin granuloma [obs]","9661"
"3260","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9662/3","Hodgkin sarcoma [obs]","9662"
"3261","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9663/3","Hodgkin lymphoma, nodular sclerosis, NOS","9663"
"3262","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9664/3","Hodgkin lymphoma, nod. scler., cellular phase","9664"
"3263","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9665/3","Hodgkin lymphoma, nod. scler., grade 1","9665"
"3264","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",966,"HODGKIN LYMPHOMA, NOD. SCLER.","9667/3","Hodgkin lymphoma, nod. scler., grade 2","9667"
"3265","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",967,"ML, SMALL B-CELL LYMPHOCYTIC","9670/3","ML, small B lymphocytic, NOS","9670"
"3266","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",967,"ML, SMALL B-CELL LYMPHOCYTIC","9671/3","ML, lymphoplasmacytic","9671"
"3267","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",967,"ML, SMALL B-CELL LYMPHOCYTIC","9673/3","Mantle cell lymphoma","9673"
"3268","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",967,"ML, SMALL B-CELL LYMPHOCYTIC","9675/3","ML, mixed sm. and lg. cell, diffuse","9675"
"3269","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",968,"ML, LARGE B-CELL, DIFFUSE","9680/3","ML, large B-cell, diffuse","9680"
"3270","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",968,"ML, LARGE B-CELL, DIFFUSE","9684/3","ML, large B-cell, diffuse, immunoblastic, NOS","9684"
"3271","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",968,"ML, LARGE B-CELL, DIFFUSE","9687/3","Burkitt lymphoma, NOS","9687"
"3272","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",968,"ML, LARGE B-CELL, DIFFUSE","9688/3","T-cell histiocyte rich large B-cell lymphoma","9688"
"3273","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",969,"FOLLIC. & MARGINAL LYMPH, NOS","9690/3","Follicular lymphoma, NOS","9690"
"3274","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",969,"FOLLIC. & MARGINAL LYMPH, NOS","9691/3","Follicular lymphoma, grade 2","9691"
"3275","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",969,"FOLLIC. & MARGINAL LYMPH, NOS","9695/3","Follicular lymphoma, grade 1","9695"
"3276","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",969,"FOLLIC. & MARGINAL LYMPH, NOS","9698/3","Follicular lymphoma, grade 3","9698"
"3277","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",969,"FOLLIC. & MARGINAL LYMPH, NOS","9699/3","Marginal zone B-cell lymphoma, NOS","9699"
"3278","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",970,"T-CELL LYMPHOMAS","9701/3","Sezary syndrome","9701"
"3279","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",970,"T-CELL LYMPHOMAS","9702/3","Mature T-cell lymphoma, NOS","9702"
"3280","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",970,"T-CELL LYMPHOMAS","9705/3","Angioimmunoblastic T-cell lymphoma","9705"
"3281","C260,C268-C269","UNSPECIFIED DIGEST. ORGANS",971,"OTHER SPEC. NON-HODGKIN LYMPHOMA","9712/3","Intravascular large B-cell lymphoma","9712"
